imagen_id,VP,FP,VN,FN,sensibilidad,especificidad,precision,exactitud,f1_score,dice,iou,mcc,npv,balanced_accuracy,fpr,fnr,area_real,area_predicha,hausdorff_distance,avg_surface_distance
TCGA_DU_5849_36,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5851_11,0,99,16285,0,0.0,0.994,0.0,0.994,0.0,0.0,0.0,0.0,1.0,0.497,0.006,0.0,0,99,,
TCGA_DU_5851_14,371,71,15898,44,0.894,0.9956,0.8394,0.993,0.8658,0.8658,0.7634,0.8627,0.9972,0.9448,0.0044,0.106,415,442,3.16,0.18
TCGA_DU_5851_15,461,27,15830,66,0.8748,0.9983,0.9447,0.9943,0.9084,0.9084,0.8321,0.9062,0.9958,0.9365,0.0017,0.1252,527,488,4.24,0.13
TCGA_DU_5851_19,634,70,15633,47,0.931,0.9955,0.9006,0.9929,0.9155,0.9155,0.8442,0.9119,0.997,0.9633,0.0045,0.069,681,704,3.0,0.1
TCGA_DU_5851_20,546,44,15777,17,0.9698,0.9972,0.9254,0.9963,0.9471,0.9471,0.8995,0.9454,0.9989,0.9835,0.0028,0.0302,563,590,2.0,0.06
TCGA_DU_5851_26,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5851_5,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5853_1,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5853_31,174,2,16097,111,0.6105,0.9999,0.9886,0.9931,0.7549,0.7549,0.6063,0.7741,0.9932,0.8052,0.0001,0.3895,285,176,4.0,0.33
TCGA_DU_5853_32,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5854_19,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5854_21,0,112,16272,0,0.0,0.9932,0.0,0.9932,0.0,0.0,0.0,0.0,1.0,0.4966,0.0068,0.0,0,112,,
TCGA_DU_5855_10,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5855_17,1510,84,14599,191,0.8877,0.9943,0.9473,0.9832,0.9165,0.9165,0.8459,0.9078,0.9871,0.941,0.0057,0.1123,1701,1594,13.15,0.19
TCGA_DU_5855_1,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5855_23,132,179,16073,0,1.0,0.989,0.4244,0.9891,0.5959,0.5959,0.4244,0.6479,1.0,0.9945,0.011,0.0,132,311,5.0,0.57
TCGA_DU_5855_3,0,3,16381,0,0.0,0.9998,0.0,0.9998,0.0,0.0,0.0,0.0,1.0,0.4999,0.0002,0.0,0,3,,
TCGA_DU_5855_8,0,85,16299,0,0.0,0.9948,0.0,0.9948,0.0,0.0,0.0,0.0,1.0,0.4974,0.0052,0.0,0,85,,
TCGA_DU_5871_11,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5871_14,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5871_20,1089,46,15089,160,0.8719,0.997,0.9595,0.9874,0.9136,0.9136,0.8409,0.908,0.9895,0.9344,0.003,0.1281,1249,1135,5.83,0.14
TCGA_DU_5871_22,1241,42,14955,146,0.8947,0.9972,0.9673,0.9885,0.9296,0.9296,0.8684,0.9242,0.9903,0.946,0.0028,0.1053,1387,1283,5.0,0.1
TCGA_DU_5871_23,1274,31,14978,101,0.9265,0.9979,0.9762,0.9919,0.9507,0.9507,0.9061,0.9467,0.9933,0.9622,0.0021,0.0735,1375,1305,3.16,0.06
TCGA_DU_5871_28,476,25,15788,95,0.8336,0.9984,0.9501,0.9927,0.8881,0.8881,0.7987,0.8863,0.994,0.916,0.0016,0.1664,571,501,3.16,0.15
TCGA_DU_5871_30,244,25,16071,44,0.8472,0.9984,0.9071,0.9958,0.8761,0.8761,0.7796,0.8745,0.9973,0.9228,0.0016,0.1528,288,269,3.16,0.16
TCGA_DU_5871_32,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5871_35,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5871_3,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5871_6,0,58,16326,0,0.0,0.9965,0.0,0.9965,0.0,0.0,0.0,0.0,1.0,0.4982,0.0035,0.0,0,58,,
TCGA_DU_5872_19,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5872_34,544,331,15402,107,0.8356,0.979,0.6217,0.9733,0.713,0.713,0.554,0.7077,0.9931,0.9073,0.021,0.1644,651,875,13.0,0.86
TCGA_DU_5872_35,621,507,15134,122,0.8358,0.9676,0.5505,0.9616,0.6638,0.6638,0.4968,0.6602,0.992,0.9017,0.0324,0.1642,743,1128,23.09,1.44
TCGA_DU_5872_37,912,329,15061,82,0.9175,0.9786,0.7349,0.9749,0.8161,0.8161,0.6893,0.8085,0.9946,0.9481,0.0214,0.0825,994,1241,8.06,0.42
TCGA_DU_5872_52,137,38,16181,28,0.8303,0.9977,0.7829,0.996,0.8059,0.8059,0.6749,0.8042,0.9983,0.914,0.0023,0.1697,165,175,5.0,0.3
TCGA_DU_5872_53,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5872_56,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5872_66,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5872_67,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5872_7,0,67,16317,0,0.0,0.9959,0.0,0.9959,0.0,0.0,0.0,0.0,1.0,0.498,0.0041,0.0,0,67,,
TCGA_DU_5872_8,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5872_9,0,18,16366,0,0.0,0.9989,0.0,0.9989,0.0,0.0,0.0,0.0,1.0,0.4995,0.0011,0.0,0,18,,
TCGA_DU_5874_11,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5874_21,85,10,16266,23,0.787,0.9994,0.8947,0.998,0.8374,0.8374,0.7203,0.8382,0.9986,0.8932,0.0006,0.213,108,95,3.16,0.22
